id,name,age,salary,department,join_date,score,category,id_binned,id_normalized,age_binned,age_normalized,salary_binned,salary_normalized,name_Bob,name_Charlie,name_Frank,name_Hank,name_Iris,name_Jake,name_Mac,name_Mia,name_Yuki,department_HR,department_IT,join_date_2015-05-30,join_date_2017-08-19,join_date_2018-06-14,join_date_2019-07-22,join_date_2020-03-25,join_date_2020-11-01,join_date_2021-03-15,join_date_2022-09-30,join_date_2023-01-10,category_B,category_C,_record_id
1,Alice,30,50000,HR,2021-03-15,88,A,0,-1.4863010829205867,0,-0.6086175364268517,0,-0.7544650750929283,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
2,Bob,32,80000,IT,2019-07-22,45,B,0,-1.1560119533826787,1,-0.4637085991823631,2,0.07159157646867202,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
3,Charlie,60,60000,Finance,2020-11-01,92,A,1,-0.8257228238447705,4,1.565016522240476,1,-0.47911285790572816,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
4,Mac,39,120000,IT,2015-05-30,10,C,1,-0.49543369430686224,1,0.043472681173346656,3,1.1730004452174723,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,3
5,Mia,22,30000,HR,2023-01-10,77,B,2,-0.1651445647689541,0,-1.1882532854048056,0,-1.3051695094673283,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,4
6,Frank,38,95000,Finance,2017-08-19,55,A,2,0.1651445647689541,1,-0.028981787448897598,2,0.48461990224947216,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5
7,Yuki,29,62000,IT,2020-03-25,88,B,3,0.49543369430686224,0,-0.6810720050490959,1,-0.4240424144682881,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,6
8,Hank,39,150000,HR,2010-12-05,5,C,3,0.8257228238447705,1,0.043472681173346656,4,1.9990570967790726,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,7
9,Iris,65,80000,Finance,2018-06-14,66,A,4,1.1560119533826787,4,1.9272888653516973,2,0.07159157646867202,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8
10,Jake,30,47000,IT,2022-09-30,99,B,4,1.4863010829205867,0,-0.6086175364268517,0,-0.8370707402490882,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,9
